iter	Logloss
0	0.6043921835
1	0.5377985027
2	0.4663373129
3	0.4091754495
4	0.3626471172
5	0.3111524846
6	0.2732994979
7	0.2525445202
8	0.229758574
9	0.2148068182
10	0.1968865599
11	0.1833783806
12	0.1758860859
13	0.1664143754
14	0.1557533691
15	0.149154305
16	0.1419081062
17	0.1366518685
18	0.1326921299
19	0.1286425561
20	0.1248920975
21	0.1225030072
22	0.1203089678
23	0.117781386
24	0.1157493692
25	0.1146451068
26	0.113007018
27	0.1113694042
28	0.1096188363
29	0.1084353763
30	0.1071525704
31	0.1061886903
32	0.1050135339
33	0.1042113341
34	0.1031141339
35	0.1019652694
36	0.1008354529
37	0.1002084555
38	0.0991678705
39	0.09866931071
40	0.09794906131
41	0.09739405739
42	0.09667254327
43	0.09615096202
44	0.09556317473
45	0.09513628384
46	0.09437600529
47	0.09357079414
48	0.0932373299
49	0.09259796831
50	0.0921547152
51	0.09175552628
52	0.09124017423
53	0.09068976553
54	0.09026170877
55	0.08981715
56	0.08936718801
57	0.08901494567
58	0.08858259679
59	0.0883102327
60	0.08778856128
61	0.08738464847
62	0.0868771809
63	0.08634086847
64	0.08603454061
65	0.08572379865
66	0.08528608545
67	0.08493655594
68	0.08457217293
69	0.08398887624
70	0.08364210246
71	0.0832717906
72	0.08304462257
73	0.08281270305
74	0.08252439273
75	0.08232808763
76	0.08212768284
77	0.08178404446
78	0.08147366563
79	0.0812917076
80	0.0808920699
81	0.08047350197
82	0.08028324594
83	0.08009309515
84	0.07967258674
85	0.07949046097
86	0.07923976568
87	0.07880633096
88	0.07838611398
89	0.07811858511
90	0.07803649024
91	0.0778661871
92	0.07752455985
93	0.07704458477
94	0.07682553891
95	0.0766905825
96	0.07652383458
97	0.07624186107
98	0.07602771206
99	0.07583292683
100	0.07559141917
101	0.07537637574
102	0.07517866996
103	0.07495071945
104	0.07482204538
105	0.07463592519
106	0.07432198003
107	0.07380517572
108	0.07357054032
109	0.07344207574
110	0.0732621722
111	0.07299966614
112	0.07264739842
113	0.07243521946
114	0.07210311291
115	0.07181092207
116	0.07168355057
117	0.07150264912
118	0.07124458763
119	0.07100982473
120	0.07085434817
121	0.07061752233
122	0.07043606344
123	0.07034009282
124	0.07023797855
125	0.06996046832
126	0.06985988404
127	0.06960234946
128	0.06950645533
129	0.0691449431
130	0.06900012379
131	0.06874386587
132	0.06859896477
133	0.06838702961
134	0.06825876584
135	0.06790759096
136	0.06783462605
137	0.06764469769
138	0.06732955454
139	0.06720408872
140	0.06690064355
141	0.06680180916
142	0.06664391934
143	0.06646836329
144	0.06627334161
145	0.06610054058
146	0.06597535072
147	0.06587025215
148	0.06573201734
149	0.06555340058
150	0.06536709946
151	0.06518168786
152	0.06501647423
153	0.06489287634
154	0.0646995776
155	0.06457855544
156	0.06447892495
157	0.06423779065
158	0.06410943846
159	0.06391910951
160	0.06380653115
161	0.06362405962
162	0.06350568149
163	0.06311390176
164	0.0630366311
165	0.0629413471
166	0.06285723139
167	0.06261845863
168	0.06244921714
169	0.06233405869
170	0.06205734871
171	0.06176647936
172	0.06159893948
173	0.06146185672
174	0.06136207691
175	0.06105988053
176	0.06095085766
177	0.060878992
178	0.06072080499
179	0.06061066081
180	0.06046091223
181	0.06034914951
182	0.06011915196
183	0.06004154697
184	0.05999327139
185	0.05981582906
186	0.05974116644
187	0.05961845797
188	0.05941713801
189	0.05913003613
190	0.05896534235
191	0.05867033571
192	0.05845844497
193	0.05819895653
194	0.05790158661
195	0.05776971346
196	0.05765989599
197	0.05753248432
198	0.05738174684
199	0.05730872482
